101571.183	SRR1956195	Burkholderia ubonensis	environmental	soil	
101571.184	SRR1956197	Burkholderia ubonensis	environmental	soil	
101571.185	SRR1956196	Burkholderia ubonensis	environmental	soil	
101571.186	SRR1956199	Burkholderia ubonensis	environmental	soil	
101571.187	SRR1956198	Burkholderia ubonensis	environmental	soil	
101571.188	SRR1956201	Burkholderia ubonensis	environmental	soil	
101571.189	SRR1956202	Burkholderia ubonensis	environmental	soil	
101571.19	SRR1956440	Burkholderia ubonensis	environmental	soil	
101571.190	SRR1956205	Burkholderia ubonensis	environmental	soil	
101571.191	SRR1956263	Burkholderia ubonensis	environmental	water	
101571.192	SRR1956192	Burkholderia ubonensis	environmental	soil	
101571.193	SRR1956193	Burkholderia ubonensis	environmental	soil	
101571.194	SRR1956200	Burkholderia ubonensis	environmental	soil	
101571.195	SRR1956203	Burkholderia ubonensis	environmental	soil	
101571.196	SRR1956212	Burkholderia ubonensis	environmental	water	
101571.197	SRR1956213	Burkholderia ubonensis	environmental	water	
101571.198	SRR1956214	Burkholderia ubonensis	environmental	soil	
101571.199	SRR1956215	Burkholderia ubonensis	environmental	soil	
101571.20	SRR1956362	Burkholderia ubonensis	environmental	soil	
101571.200	SRR1956217	Burkholderia ubonensis	environmental	soil	
101571.201	SRR1956216	Burkholderia ubonensis	environmental	soil	
101571.202	SRR1956218	Burkholderia ubonensis	environmental	soil	
101571.203	SRR1956220	Burkholderia ubonensis	environmental	water	
101571.204	SRR1956223	Burkholderia ubonensis	environmental	soil	
101571.205	SRR1956224	Burkholderia ubonensis	environmental	soil	
101571.206	SRR1956225	Burkholderia ubonensis	environmental	soil	
101571.207	SRR1956226	Burkholderia ubonensis	environmental	soil	
101571.208	SRR1956230	Burkholderia ubonensis	environmental	soil	
101571.209	SRR1956237	Burkholderia ubonensis	environmental	soil	
101571.21	SRR1956363	Burkholderia ubonensis	environmental	soil	
101571.210	SRR1956238	Burkholderia ubonensis	environmental	soil	
101571.211	SRR1956239	Burkholderia ubonensis	environmental	soil	
101571.212	SRR1956241	Burkholderia ubonensis	environmental	soil	
101571.213	SRR1956243	Burkholderia ubonensis	environmental	soil	
101571.214	SRR1956278	Burkholderia ubonensis	environmental	soil	
101571.215	SRR1956245	Burkholderia ubonensis	environmental	water	
101571.216	SRR1956281	Burkholderia ubonensis	environmental	soil	
101571.217	SRR1956279	Burkholderia ubonensis	environmental	soil	
101571.218	SRR1956219	Burkholderia ubonensis	environmental	soil	
101571.219	SRR1956204	Burkholderia ubonensis	environmental	soil	
101571.22	SRR1956442	Burkholderia ubonensis	environmental	soil	
101571.220	SRR1956234	Burkholderia ubonensis	environmental	soil	
101571.221	SRR1956242	Burkholderia ubonensis	environmental	soil	
101571.222	SRR1956283	Burkholderia ubonensis	environmental	soil	
101571.223	SRR1956291	Burkholderia ubonensis	environmental	soil	
101571.224	SRR1956292	Burkholderia ubonensis	environmental	soil	
101571.225	SRR1956293	Burkholderia ubonensis	environmental	soil	
101571.226	SRR1956299	Burkholderia ubonensis	environmental	soil	
101571.227	SRR1956300	Burkholderia ubonensis	environmental	soil	
101571.228	SRR1956303	Burkholderia ubonensis	environmental	soil	
101571.229	SRR1956305	Burkholderia ubonensis	environmental	soil	
101571.23	SRR1956446	Burkholderia ubonensis	environmental	soil	
101571.230	SRR1956306	Burkholderia ubonensis	environmental	soil	
101571.231	SRR1956308	Burkholderia ubonensis	environmental	soil	
101571.232	SRR1956309	Burkholderia ubonensis	environmental	soil	
101571.233	SRR1956314	Burkholderia ubonensis	environmental	soil	
101571.234	SRR1956319	Burkholderia ubonensis	environmental	soil	
101571.235	SRR1956320	Burkholderia ubonensis	environmental	soil	
101571.236	SRR1956322	Burkholderia ubonensis	environmental	soil	
101571.237	SRR1956327	Burkholderia ubonensis	environmental	soil	
101571.238	SRR1956280	Burkholderia ubonensis	environmental	soil	
101571.239	SRR1956286	Burkholderia ubonensis	environmental	soil	
101571.24	SRR1956443	Burkholderia ubonensis	environmental	soil	
101571.240	SRR1956290	Burkholderia ubonensis	environmental	soil	
101571.241	SRR1956295	Burkholderia ubonensis	environmental	soil	
101571.242	SRR1956311	Burkholderia ubonensis	environmental	soil	
101571.243	SRR1956332	Burkholderia ubonensis	environmental	soil	
101571.244	SRR1956335	Burkholderia ubonensis	environmental	soil	
101571.245	SRR1956337	Burkholderia ubonensis	environmental	soil	
101571.246	SRR1956339	Burkholderia ubonensis	environmental	soil	
101571.247	SRR1956341	Burkholderia ubonensis	environmental	water	
101571.248	SRR1956342	Burkholderia ubonensis	environmental	soil	
101571.249	SRR1956307	Burkholderia ubonensis	environmental	soil	
101571.25	SRR1956444	Burkholderia ubonensis	environmental	soil	
101571.250	SRR1956083	Burkholderia ubonensis	environmental	soil	
101571.251	SRR1956155	Burkholderia ubonensis	environmental	soil	
101571.252	SRR1956160	Burkholderia ubonensis	environmental	soil	
101571.253	SRR1956343	Burkholderia ubonensis	environmental	soil	
101571.255	SRR1956127	Burkholderia ubonensis	environmental	soil	
101571.256	SRR1956435	Burkholderia ubonensis	environmental	soil	
101571.257	SRR1956346	Burkholderia ubonensis	environmental	soil	
101571.258	SRR1956480	Burkholderia ubonensis	environmental	soil	
101571.259	SRR1956139	Burkholderia ubonensis	environmental	soil	
101571.26	SRR1956445	Burkholderia ubonensis	environmental	soil	
101571.260	SRR1956333	Burkholderia ubonensis	environmental	soil	
101571.261		Burkholderia ubonensis	environmental	soil	
101571.262		Burkholderia ubonensis	environmental	soil	
101571.263		Burkholderia ubonensis	environmental	soil	
101571.27	SRR1956479	Burkholderia ubonensis	environmental	soil	
101571.274		Burkholderia ubonensis	environmental	soil	
101571.275		Burkholderia ubonensis	environmental	soil	
101571.276		Burkholderia ubonensis	environmental	water	
101571.277		Burkholderia ubonensis	environmental	soil	
101571.278		Burkholderia ubonensis	environmental	soil	
101571.279		Burkholderia ubonensis	environmental	soil	
101571.28	SRR1956450	Burkholderia ubonensis	environmental	soil	
101571.280		Burkholderia ubonensis	environmental	soil	
101571.281		Burkholderia ubonensis	environmental	water	
101571.282		Burkholderia ubonensis	environmental	soil	
101571.283		Burkholderia ubonensis	environmental	soil	
101571.284		Burkholderia ubonensis	environmental	soil	
101571.285		Burkholderia ubonensis	environmental	water	
101571.286		Burkholderia ubonensis	environmental	soil	
101571.287		Burkholderia ubonensis	environmental	soil	
101571.288		Burkholderia ubonensis	environmental	soil	
101571.289		Burkholderia ubonensis	environmental	soil	
101571.29	SRR1956448	Burkholderia ubonensis	environmental	soil	
101571.290		Burkholderia ubonensis	environmental	water	
101571.291		Burkholderia ubonensis	environmental	soil	
101571.292		Burkholderia ubonensis	environmental	soil	
101571.293		Burkholderia ubonensis	environmental	water	
101571.294		Burkholderia ubonensis	environmental	soil	
101571.295		Burkholderia ubonensis	environmental	soil	
101571.297		Burkholderia ubonensis	environmental	soil	
101571.298		Burkholderia ubonensis	environmental	soil	
