f1	ALL			AMC			AMK			AMP			AMX			ATM			AZM			CAP			CAZ			CEF			CFM			CHL			CIP			CLI			CRO			CTX			CXM			DCS			EMB			ERY			ETP			FA			FEP			FIS			FOX			GEN			INH			IPM			KAN			LVX			MEM			MET			MXF			NAL			NIT			OFX			PAS			PEN			PZA			RIF			SAM			SPT			STR			SXT			TET			TIO			TMP			TOB			TZP			VAN			cefazoline		
Species	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High	Score	CI Low	CI High
Acinetobacter baumannii	0.9572147921655059	0.9541306432013122	0.9602989411296995				0.9352907466184057	0.9152471338290386	0.9553343594077729																0.9083785082864736	0.8542779873874118	0.9624790291855354										0.9883548972537145	0.9814871032069047	0.9952226913005243																																					0.9815385592475009	0.978020273459948	0.9850568450350538				0.9377270352802445	0.9197178222636941	0.9557362482967948				0.980103227538839	0.9586222447030288	1.0015842103746493	0.9232810939706775	0.9020649240292612	0.9444972639120938																												0.9230742284561009	0.8996906741869598	0.946457782725242							0.9649570351026121	0.9557442120658097	0.9741698581394145	0.9245849108200506	0.8807894160246523	0.9683804056154488							0.9327329218115811	0.9126200275434359	0.9528458160797263									
Campylobacter coli	0.9236875403514802	0.9007012709586963	0.946673809744264																0.9730493004263495	0.923748581675019	1.02235001917768																0.8463535676680014	0.7872028508637461	0.9055042844722567	0.8678068211406824	0.7981486014299511	0.9374650408514137																0.9548386981911408	0.9154664316107654	0.9942109647715162																																								0.8767299347832779	0.7760746065349287	0.9773852630316271																															0.9726960853597785	0.9521575606104454	0.9932346101091115																		
Campylobacter jejuni	0.9534586857076917	0.935564318803884	0.9713530526114993																																		0.9026146465459111	0.8608425475468177	0.9443867455450045																																																													0.9193920543019114	0.8952739422824718	0.943510166321351																															0.9889347559576562	0.9790466461079841	0.9988228658073284																		
Enterobacter cloacae	0.9561925058198023	0.9511749248959747	0.96121008674363							1.0	1.0	1.0				0.9824761904761905	0.9526818861806859	1.012270494771695							0.9870967741935484	0.9724712391256288	1.0017223092614678										0.829235151114378	0.8078180603933488	0.8506522418354071				0.9834828617437313	0.9553854143350713	1.0115803091523914	0.9850914205344585	0.9681928592710325	1.0019899817978846													0.9216428995840762	0.8981862276651628	0.9450995715029896				0.8786861650561342	0.8270592474746569	0.9303130826376115																																																				0.9880701754385965	0.9549476724292193	1.0211926784479737																						0.9810450086312155	0.9678702289996538	0.9942197882627771						
Enterococcus faecium	0.9799276207823621	0.9750772993107173	0.9847779422540068							0.9680776029496784	0.9502697597186328	0.9858854461807239																																																																																																																			1.0	1.0	1.0																			0.9774114130914052	0.9664013748162201	0.9884214513665903			
Escherichia coli	0.8661451624038102	0.8571295228575851	0.8751608019500353	0.7553079683479753	0.7080560826002411	0.8025598540957095				0.9258228672050756	0.9104103511611514	0.9412353832489997	0.8411628333097918	0.8035125649805972	0.8788131016389864	0.8611745094354782	0.7718986122722574	0.9504504065986991							0.8999539343465471	0.890728181962649	0.9091796867304452	0.9007018420176316	0.824936869701234	0.9764668143340292				0.8333882612933247	0.7683956312717803	0.898380891314869	0.9054195700378047	0.8814692045723971	0.9293699355032123				0.9558150746779288	0.9367845144286006	0.9748456349272571	0.9287094307328564	0.9056227117471056	0.9517961497186072	0.7559850844547864	0.6969876978311244	0.8149824710784485																0.8086294193611266	0.7852391753172123	0.832019663405041				0.9185542266931626	0.8964454897238187	0.9406629636625065	0.749302611567445	0.7139876501950793	0.7846175729398108										0.9055656271345394	0.8693796145333085	0.9417516397357703																															0.9507553524333711	0.9034083412995448	0.9981023635671973				0.8005432058406885	0.7244339358734211	0.8766524758079559	0.8518644484731814	0.8167592929884504	0.8869696039579125	0.7410134275208325	0.6596836514908934	0.8223432035507717				0.8135054112436265	0.7545368837332517	0.8724739387540014	0.8359022876189233	0.7871988470747366	0.8846057281631099	0.6542696376821956	0.5913846487304977	0.7171546266338935				0.9838315870924565	0.956341378860204	1.0113217953247091
Klebsiella aerogenes	0.9526109391124871	0.9194303884453648	0.9857914897796093																																								0.9526109391124871	0.9194303884453648	0.9857914897796093																																																																																																												
Klebsiella pneumoniae	0.9563036228343303	0.9548868703198281	0.9577203753488326	0.9459748868745794	0.9072827163361961	0.9846670574129628	0.8484720931954683	0.8158505429826199	0.8810936434083168	0.9985837430039777	0.9969784428178694	1.000189043190086				0.96606192254057	0.9599918371117757	0.9721320079693643							0.9845517768479819	0.9780955526782559	0.9910080010177079										0.9728154198918457	0.9655023877182561	0.9801284520654353				0.9911767082926671	0.9884481517306253	0.993905264854709	0.9918791646331885	0.9862416129872168	0.9975167162791602	0.8716974076160333	0.8491153228692611	0.8942794923628056										0.9728519031914843	0.9647548750530245	0.9809489313299441				0.9037262978276797	0.8899032688705925	0.9175493267847669				0.8757156452806022	0.8405259777191897	0.9109053128420147	0.90581614103479	0.8867889722953287	0.9248433097742513				0.9523761530459096	0.9400363918578892	0.96471591423393				0.9673584514644584	0.9564134131148492	0.9783034898140677	0.9539899104151004	0.9411387719601896	0.9668410488700112										0.9643435504225909	0.9461789619980977	0.9825081388470841																0.993196383945457	0.9858961714956677	1.0004965963952464							0.9288549868473821	0.9212954057037471	0.9364145679910171	0.7975315666365327	0.7598367391815535	0.8352263940915119							0.9509227037461392	0.9354040784953052	0.9664413289969732	0.9203653155896049	0.9016038369277878	0.939126794251422				0.9859618924311523	0.9791106204931581	0.9928131643691465
