ALL	0.93152928396	0.930915462659	0.932143105262
AMC	0.87408558209	0.853164074674	0.895007089506
AMK	0.903608532267	0.886442645517	0.920774419017
AMP	0.977506287548	0.972092831307	0.982919743788
AMX	0.84116283331	0.803512564981	0.878813101639
ATM	0.947931993817	0.937130766248	0.958733221386
AZM	0.96481013911	0.955188346071	0.974431932148
CAP	0.863669079543	0.81344477685	0.913893382236
CAZ	0.962150765019	0.955829263169	0.968472266868
CEF	0.900701842018	0.824936869701	0.976466814334
CFM	0.952919912262	0.942728338223	0.9631114863
CHL	0.924542349904	0.916618050187	0.932466649621
CIP	0.94571145531	0.939184559323	0.952238351297
CLI	0.923020516753	0.903168649439	0.942872384066
CRO	0.983122614967	0.980607172369	0.985638057565
CTX	0.960841119372	0.947555762511	0.974126476232
CXM	0.919397014406	0.90130566213	0.937488366682
DCS	0.731966776564	0.676165862477	0.787767690651
EMB	0.841751607854	0.832438883538	0.85106433217
ERY	0.962881296584	0.955893502326	0.969869090843
ETP	0.964182268801	0.956298330832	0.97206620677
FA	0.844940178167	0.811527004237	0.878353352097
FEP	0.892993814894	0.881374688425	0.904612941362
FIS	0.936256655131	0.933348510166	0.939164800096
FOX	0.924004709109	0.909716589174	0.938292829044
GEN	0.888974633441	0.874676176942	0.903273089939
INH	0.908379463992	0.896808739324	0.919950188659
IPM	0.940936729821	0.93314162977	0.948731829871
KAN	0.877731846006	0.851470415001	0.90399327701
LVX	0.95558402891	0.945338167828	0.965829889992
MEM	0.932108451943	0.922153323174	0.942063580712
MET	0.987077110417	0.981503918864	0.992650301971
MXF	0.749210373838	0.686180067807	0.81224067987
NAL	0.821395834187	0.791595439638	0.851196228736
NIT	0.964343550423	0.946178961998	0.982508138847
OFX	0.768886095156	0.737971936071	0.799800254242
PAS	0.757220254978	0.704783388048	0.809657121908
PEN	0.950457968153	0.941728616977	0.95918731933
PZA	0.832927767668	0.819520869806	0.84633466553
RIF	0.937866070362	0.931531059524	0.9442010812
SAM	0.978386377098	0.971654592801	0.985118161394
SPT	0.850423268489	0.744189590101	0.956656946877
STR	0.885244484232	0.870436186068	0.900052782395
SXT	0.92809415516	0.923699346197	0.932488964122
TET	0.943143470785	0.937066262595	0.949220678976
TIO	0.954187257179	0.939846749096	0.968527765262
TMP	0.816558248971	0.803364755069	0.829751742873
TOB	0.932946640124	0.923255464631	0.942637815616
TZP	0.883968982793	0.868618134256	0.899319831331
VAN	0.977411413091	0.966401374816	0.988421451367
cefazoline	0.985734261157	0.978739053002	0.992729469312
